Property,m0,m1,m2,Result
Property_1,-6,16,-56,0
Property_1,-6,16,-54,0
Property_1,-6,16,-52,0
Property_1,-6,16,-50,0
Property_1,-6,16,-48,0
Property_1,-6,16,-46,0
Property_1,-6,16,-44,0
Property_1,-6,16,-42,0
Property_1,-6,16,-40,0
Property_1,-6,16,-38,0
Property_1,-6,16,-36,0
Property_1,-6,16,-34,0
Property_1,-6,16,-32,0
Property_1,-6,16,-30,0
Property_1,-6,20,-70,0.00937950937951
Property_1,-6,20,-68,0.00937950937951
Property_1,-6,20,-66,0.00937950937951
Property_1,-6,20,-64,0.00937950937951
Property_1,-6,20,-62,0.00937950937951
Property_1,-6,20,-60,0.00937950937951
Property_1,-6,20,-58,0.00937950937951
Property_1,-6,20,-56,0.00937950937951
Property_1,-6,20,-54,0.00937950937951
Property_1,-6,20,-52,0.00937950937951
Property_1,-6,20,-50,0.00937950937951
Property_1,-6,20,-48,0.00937950937951
Property_1,-6,20,-46,0.00937950937951
Property_1,-6,20,-44,0.00937950937951
Property_1,-6,20,-42,0.00937950937951
Property_1,-6,20,-40,0.00937950937951
Property_1,-6,20,-38,0.00937950937951
Property_1,-6,20,-36,0.00937950937951
Property_1,-6,20,-34,0.00937950937951
Property_1,-6,20,-32,0
Property_1,-6,20,-30,0
Property_1,-6,24,-70,0.405898208224
Property_1,-6,24,-68,0.405898208224
Property_1,-6,24,-66,0.405898208224
Property_1,-6,24,-64,0.405898208224
Property_1,-6,24,-62,0.405622340301
Property_1,-6,24,-60,0.405622340301
Property_1,-6,24,-58,0.405622340301
Property_1,-6,24,-56,0.405622340301
Property_1,-6,24,-54,0.405622340301
Property_1,-6,24,-52,0.405622340301
Property_1,-6,24,-50,0.405622340301
Property_1,-6,24,-48,0.405622340301
Property_1,-6,24,-46,0.405622340301
Property_1,-6,24,-44,0.405622340301
Property_1,-6,24,-42,0.405622340301
Property_1,-6,24,-40,0.405622340301
Property_1,-6,24,-38,0.405622340301
Property_1,-6,24,-36,0.405343113676
Property_1,-6,24,-34,0.405343113676
Property_1,-6,24,-32,0
Property_1,-6,24,-30,0
Property_1,-6,28,-70,0.505003446384
Property_1,-6,28,-68,0.505003446384
Property_1,-6,28,-66,0.505003446384
Property_1,-6,28,-64,0.505003446384
Property_1,-6,28,-62,0.495899804928
Property_1,-6,28,-60,0.495899804928
Property_1,-6,28,-58,0.495899804928
Property_1,-6,28,-56,0.495899804928
Property_1,-6,28,-54,0.495899804928
Property_1,-6,28,-52,0.495899804928
Property_1,-6,28,-50,0.495899804928
Property_1,-6,28,-48,0.495899804928
Property_1,-6,28,-46,0.495899804928
Property_1,-6,28,-44,0.495899804928
Property_1,-6,28,-42,0.495899804928
Property_1,-6,28,-40,0.495899804928
Property_1,-6,28,-38,0.485798794827
Property_1,-6,28,-36,0.485798794827
Property_1,-6,28,-34,0.485798794827
Property_1,-6,28,-32,0
Property_1,-6,28,-30,0
Property_1,-6,32,-70,0.505153759034
Property_1,-6,32,-68,0.505153759034
Property_1,-6,32,-66,0.505153759034
Property_1,-6,32,-64,0.505153759034
Property_1,-6,32,-62,0.496050117578
Property_1,-6,32,-60,0.496050117578
Property_1,-6,32,-58,0.496050117578
Property_1,-6,32,-56,0.496050117578
Property_1,-6,32,-54,0.496050117578
Property_1,-6,32,-52,0.496050117578
Property_1,-6,32,-50,0.496050117578
Property_1,-6,32,-48,0.496050117578
Property_1,-6,32,-46,0.496050117578
Property_1,-6,32,-44,0.496050117578
Property_1,-6,32,-42,0.496050117578
Property_1,-6,32,-40,0.496050117578
Property_1,-6,32,-38,0.485798794827
Property_1,-6,32,-36,0.485798794827
Property_1,-6,32,-34,0.485798794827
Property_1,-6,32,-32,0
Property_1,-6,32,-30,0
Property_1,-6,36,-70,0.505153759034
Property_1,-6,36,-68,0.505153759034
Property_1,-6,36,-66,0.505153759034
Property_1,-6,36,-64,0.505153759034
Property_1,-6,36,-62,0.496050117578
Property_1,-6,36,-60,0.496050117578
Property_1,-6,36,-58,0.496050117578
Property_1,-6,36,-56,0.496050117578
Property_1,-6,36,-54,0.496050117578
Property_1,-6,36,-52,0.496050117578
Property_1,-6,36,-50,0.496050117578
Property_1,-6,36,-48,0.496050117578
Property_1,-6,36,-46,0.496050117578
Property_1,-6,36,-44,0.496050117578
Property_1,-6,36,-42,0.496050117578
Property_1,-6,36,-40,0.496050117578
Property_1,-6,36,-38,0.485798794827
Property_1,-6,36,-36,0.485798794827
Property_1,-6,36,-34,0.485798794827
Property_1,-6,36,-32,0
Property_1,-6,36,-30,0
Property_1,-4,12,-70,0
Property_1,-4,12,-68,0
Property_1,-4,12,-66,0
Property_1,-4,12,-64,0
Property_1,-4,12,-62,0
Property_1,-4,12,-60,0
Property_1,-4,12,-58,0
Property_1,-4,12,-56,0
Property_1,-4,12,-54,0
Property_1,-4,12,-52,0
Property_1,-4,12,-50,0
Property_1,-4,12,-48,0
Property_1,-4,12,-46,0
Property_1,-4,12,-44,0
Property_1,-4,12,-42,0
Property_1,-4,12,-40,0
Property_1,-4,12,-38,0
Property_1,-4,12,-36,0
Property_1,-4,12,-34,0
Property_1,-4,12,-32,0
Property_1,-4,12,-30,0
Property_1,-4,16,-70,0
Property_1,-4,16,-68,0
Property_1,-4,16,-66,0
Property_1,-4,16,-64,0
Property_1,-4,16,-62,0
Property_1,-4,16,-60,0
Property_1,-4,16,-58,0
Property_1,-4,16,-56,0
Property_1,-4,16,-54,0
Property_1,-4,16,-52,0
Property_1,-4,16,-50,0
Property_1,-4,16,-48,0
Property_1,-4,16,-46,0
Property_1,-4,16,-44,0
Property_1,-4,16,-42,0
Property_1,-4,16,-40,0
Property_1,-4,16,-38,0
Property_1,-4,16,-36,0
Property_1,-4,16,-34,0
Property_1,-4,16,-32,0
Property_1,-4,16,-30,0
Property_1,-4,20,-70,0.00937950937951
Property_1,-4,20,-68,0.00937950937951
Property_1,-4,20,-66,0.00937950937951
Property_1,-4,20,-64,0.00937950937951
Property_1,-4,20,-62,0.00937950937951
Property_1,-4,20,-60,0.00937950937951
Property_1,-4,20,-58,0.00937950937951
Property_1,-4,20,-56,0.00937950937951
Property_1,-4,20,-54,0.00937950937951
Property_1,-4,20,-52,0.00937950937951
Property_1,-4,20,-50,0.00937950937951
Property_1,-4,20,-48,0.00937950937951
Property_1,-4,20,-46,0.00937950937951
Property_1,-4,20,-44,0.00937950937951
Property_1,-4,20,-42,0.00937950937951
Property_1,-4,20,-40,0.00937950937951
Property_1,-4,20,-38,0.00937950937951
Property_1,-4,20,-36,0.00937950937951
